finding_id,category,area,checked_source,observed,engineering_read,release_action,reopen_risk
main_wing_chord_smoothness,smooth_and_manufacturable,main_wing_planform,output/go_mode_main_wing_candidate/final_candidate_package/geometry_exports/production_inspection/current_avl_compromise_conservative_closed/section_table.csv,"9 inspection sections; chord is monotone with 0 positive jumps; root chord 1.256773 m, tip chord 0.645004 m.",Large external chord distribution is smooth enough for team-release inspection; it is still not a CAD curvature proof.,Keep smooth basis; produce a controlled shop station table before drawings.,not_triggered
twist_dihedral_loaded_shape_smoothness,smooth_and_manufacturable,main_wing_twist_dihedral_loaded_shape,output/go_mode_main_wing_candidate/final_candidate_package/geometry_exports/production_inspection/current_avl_compromise_conservative_closed/section_table.csv,Loaded tip z 2.628561 m; max adjacent twist jump 0.827 deg; z monotone True; local dihedral monotone True.,"No large external-shape discontinuity is evident in the inspection section table, but beam-line z remains a screening proxy.",Keep as screening smooth geometry; do not call it aero-surface sign-off.,not_triggered
continuous_dimensions_need_shop_grid,smooth_but_not_manufacturable,dimensioning,output/go_mode_main_wing_candidate/final_candidate_package/geometry_exports/production_inspection/current_avl_compromise_conservative_closed/geometry_manifest.json,"Span 34.332286 m, aero half-span 17.166143 m, non-round section y stations such as 2.746583/6.008150/14.076237 m.","The current continuous dimensions are fine for screening geometry, but they are not shop-facing dimensions.",Create a 0.05 or 0.10 m controlled station schedule tied to rib bays before RFQ/drawings.,not_triggered
airfoil_section_handoff_contract,smooth_but_not_manufacturable,airfoil_transition,output/current_pathfinder_materialized_rib_contract_audit/mandatory_rib_reason.csv,"Airfoil assignment is {'mid1': 'dae31', 'mid2': 'dae31', 'root': 'dae31', 'tip': 'cst_tip_nsga2_g05_child_0032_70ef8136'}; first section handoff to tip airfoil occurs near y=14.076 m, while airfoil_transition is a missing station contract.","The aerodynamic sidecar can interpolate sections, but the shop needs an explicit handoff rib/station and section blending note.",Add airfoil-transition station contract to the WO-005/RFQ station manifest.,watch_not_reopen
rib_0p30_materialized,smooth_and_manufacturable,rib_bays,output/current_pathfinder_materialized_rib_contract_audit/materialized_rib_contract_audit.json,121 full-wing stations and 120 bays; max materialized bay 0.297063 m against target 0.30 m.,"The 0.30 m rib basis is physically materialized in the station/bay trace, not only a naked local-wall assumption.","Keep 0.30 m as release-facing bay trace, with local FEM/coupon caveats.",not_triggered
release_vs_selected_stiffness_rib_spacing,smooth_but_not_manufacturable,rib_basis_consistency,docs/reports/2026-05-12_current_pathfinder_p1_load_path_mass_closure.json,"Release freeze says 0.30 m, but selected stiffness basis closure_rerun_eps_balsa_cap_hybrid_10mm__t10p0mm__manufacturing_relaxed_0p36__carbon_face_collar_y2p328__rear75_fast_design_loop_v1 records target spacing 0.345 m and materialized max subbay 0.345 m.","This is a release-contract inconsistency: the physical station trace is 0.30 m, while the later stiffness bookkeeping carries a relaxed spacing label.","Before procurement, reconcile whether Baseline A controls 0.30 m physical ribs or the relaxed stiffness row.",watch_not_reopen
splice_station_contract_mismatch,manufacturable_but_geometry_discontinuity_risk,transport_splice_stations,output/current_pathfinder_spar_splice_design/splice_joints.csv,"Splice design screens 3.0/6.0/9.0/12.0/15.0 m, while materialized spar-joint ribs are 1.455/4.365/7.574/10.509/13.462 m.","Both station languages are individually plausible, but using both unlabeled will confuse spar cuts, sleeve locations, rib hard-points, and RFQ drawings.",Create one controlled transport/splice/station manifest before carbon tube RFQ.,watch_not_reopen
span_extent_contract_mismatch,manufacturable_but_geometry_discontinuity_risk,span_extent,output/baseline_A_team_release/geometry_freeze.json,Structural splice half-span 16.500 m; production aero section tip y 17.166 m; materialized rib extent 17.324 m.,"The mismatch is small enough to fix as a station-contract problem, but it is not acceptable as an RFQ or shop drawing basis.","Define whether the outer 0.67-0.82 m per side is aerodynamic tip structure, removable tip, or excluded from spar procurement.",watch_not_reopen
inboard_splice_zero_margin_rfq_warning,manufacturable_but_geometry_discontinuity_risk,spar_splice_margin,output/current_pathfinder_spar_splice_design/splice_design_report.json,Worst joint y=3.0 m has governing margin 0.000 in spigot:bending after auto-sizing.,"A zero screening margin is not a Baseline A reopen by itself, but it is an RFQ/detail warning because vendor tolerances, ovality, fit, and knockdowns can consume it.","Carry as WO-005 RFQ warning; ask vendors for tube/spigot tolerance, sleeve fit, and local test evidence.",rfq_warning_not_reopen
control_tail_transition_station_contracts,smooth_but_not_manufacturable,control_and_tail_interfaces,output/current_pathfinder_materialized_rib_contract_audit/mandatory_rib_reason.csv,"Missing station contracts include transport_joint, control_station, airfoil_transition, twist_transition.","The main wing can remain a release pathfinder, but control, twist, airfoil transition, and transport stations need an explicit manifest before team work uses them as physical locations.",Add a station-interface manifest as a prerequisite note for WO-005/WO-009/WO-010.,watch_not_reopen
skin_sag_bond_collar_trust_boundary,smooth_but_not_manufacturable,rib_skin_bond_local_detail,output/current_pathfinder_materialized_rib_contract_audit/materialized_rib_contract_audit.json,Materialized rib audit still marks skin sag as unknown_requires_test and bond/collar/spar contact as needs_data.,"This does not break large external smoothness, but it prevents any final manufacturing sign-off or coupon/FEM closure claim.",Keep one-meter wing-bay v2 and C04 coupon/local FEM ahead of build sign-off.,not_triggered
