manifest_id,station_type,rfq_y_m,source_y_m,side_basis,status,source_artifact,rfq_language,wo004_warning_carried,review_trigger
rfq_station_convention,convention,,,positive_half_wing_mirrored,controlled_for_rfq_screening,WO-005 controlled manifest,Use positive half-wing y from aircraft centerline/root; mirror to left/right.,prevents station convention mixing,"Any vendor drawing with a different origin, sign, or station datum requires review."
structural_half_span_basis,span_extent,16.500000,16.500000,positive_half_wing,controlled_for_rfq_screening,output/current_pathfinder_spar_splice_design/splice_design_report.json,Tube procurement screen uses 16.5 m structural half-span and 3 m transport panels.,span_extent_contract_mismatch,Any tube length/order basis that includes the outer aero/rib extension needs station-control review.
aero_half_span_reference,span_extent,reference_only,17.166143,positive_half_wing,reference_not_rfq_tube_length_control,output/baseline_A_team_release/manufacturable_geometry_audit/geometry_discretization_report.csv,"Aero production section tip is a reference extent, not the RFQ tube purchase extent.",span_extent_contract_mismatch,"If vendor or shop treats this as spar tube length, update drawing control before RFQ proceeds."
materialized_rib_extent_reference,span_extent,reference_only,17.324041,positive_half_wing,reference_not_rfq_tube_length_control,output/current_pathfinder_materialized_rib_contract_audit/materialized_rib_contract_audit.json,"Materialized rib tip extent is a reference station trace, not RFQ tube length control.",span_extent_contract_mismatch,Outer 0.67-0.82 m per side must be classified before drawings or purchase release.
release_rib_spacing_basis,rib_spacing,,0.300000,full_wing_station_trace,controlled_for_rfq_language,output/current_pathfinder_materialized_rib_contract_audit/materialized_rib_contract_audit.json,"RFQ language controls 0.30 m physical ribs: 121 stations, max bay 0.297063 m.",release_vs_selected_stiffness_rib_spacing,"Changing to relaxed stiffness spacing requires station, skin-sag, mass/CG, and local FEM review."
selected_stiffness_spacing_label,rib_spacing,not_controlled,0.345000,stiffness_bookkeeping_reference,not_rfq_controlled_dimension,output/baseline_A_team_release/manufacturable_geometry_audit/geometry_discretization_report.csv,"Release freeze says 0.30 m, but selected stiffness basis closure_rerun_eps_balsa_cap_hybrid_10mm__t10p0mm__manufacturing_relaxed_0p36__carbon_face_collar_y2p328__rear75_fast_design_loop_v1 records target spacing 0.345 m and materialized max subbay 0.345 m.",release_vs_selected_stiffness_rib_spacing,"If this label becomes a physical rib pitch, Baseline A station/rib/skin/coupon basis must be reviewed."
transport_splice_y03,transport_splice,3.000000,3.000000,positive_half_wing_mirrored,controlled_for_rfq_screening,output/current_pathfinder_spar_splice_design/splice_design_report.json,"Transport splice at y=3.0 m; nearest materialized spar-joint rib y=4.365292 m, offset 1.365292 m.",splice_station_contract_mismatch,Do not move splice to a rib station or rib to a splice station without structural review.
transport_splice_y06,transport_splice,6.000000,6.000000,positive_half_wing_mirrored,controlled_for_rfq_screening,output/current_pathfinder_spar_splice_design/splice_design_report.json,"Transport splice at y=6.0 m; nearest materialized spar-joint rib y=7.573654 m, offset 1.573654 m.",splice_station_contract_mismatch,Do not move splice to a rib station or rib to a splice station without structural review.
transport_splice_y09,transport_splice,9.000000,9.000000,positive_half_wing_mirrored,controlled_for_rfq_screening,output/current_pathfinder_spar_splice_design/splice_design_report.json,"Transport splice at y=9.0 m; nearest materialized spar-joint rib y=7.573654 m, offset 1.426346 m.",splice_station_contract_mismatch,Do not move splice to a rib station or rib to a splice station without structural review.
transport_splice_y12,transport_splice,12.000000,12.000000,positive_half_wing_mirrored,controlled_for_rfq_screening,output/current_pathfinder_spar_splice_design/splice_design_report.json,"Transport splice at y=12.0 m; nearest materialized spar-joint rib y=13.462227 m, offset 1.462227 m.",splice_station_contract_mismatch,Do not move splice to a rib station or rib to a splice station without structural review.
transport_splice_y15,transport_splice,15.000000,15.000000,positive_half_wing_mirrored,controlled_for_rfq_screening,output/current_pathfinder_spar_splice_design/splice_design_report.json,"Transport splice at y=15.0 m; nearest materialized spar-joint rib y=13.462227 m, offset 1.537773 m.",splice_station_contract_mismatch,Do not move splice to a rib station or rib to a splice station without structural review.
transport_station_contract_open,transport_joint,open,,not_controlled,missing_contract_not_drawing_control,output/current_pathfinder_materialized_rib_contract_audit/mandatory_rib_reason.csv,Explicitly missing. Do not treat the current rib layout as passing this contract.,airfoil_control_transition_contracts_missing,Define station contract before shop drawings or physical station-dependent procurement.
control_station_contract_open,control_station,open,,not_controlled,missing_contract_not_drawing_control,output/current_pathfinder_materialized_rib_contract_audit/mandatory_rib_reason.csv,Explicitly missing. Do not treat the current rib layout as passing this contract.,airfoil_control_transition_contracts_missing,Define station contract before shop drawings or physical station-dependent procurement.
airfoil_transition_contract_open,airfoil_transition,open,,not_controlled,missing_contract_not_drawing_control,output/current_pathfinder_materialized_rib_contract_audit/mandatory_rib_reason.csv,Explicitly missing. Do not treat the current rib layout as passing this contract.,airfoil_control_transition_contracts_missing,Define station contract before shop drawings or physical station-dependent procurement.
twist_transition_contract_open,twist_transition,open,,not_controlled,missing_contract_not_drawing_control,output/current_pathfinder_materialized_rib_contract_audit/mandatory_rib_reason.csv,Explicitly missing. Do not treat the current rib layout as passing this contract.,airfoil_control_transition_contracts_missing,Define station contract before shop drawings or physical station-dependent procurement.
