authority_id,engineering_topic,important_number,unit,authority_class,source_lane,allowed_use,disallowed_use,may_appear_in_readme_current_mainline_release_docs,may_be_used_for_procurement,may_affect_baseline_A_reopen,trust_upgrade_requirement
design_gross_mass_98p5,mass / CG / rebalance,98.5,kg,user_authority,latest explicit user instruction,Current design gross mass standard until the user explicitly changes it.,"Do not overwrite with P1 aggregate, release ledger sum, vendor response, or generated output.",yes; it should appear as the governing design mass authority,"yes, but only as design standard input, not measured order mass",yes; deviations from this standard may trigger user decision,Only a new explicit user instruction or a formal mass-basis reconciliation can replace it.
p1_screening_mass_106p828608,mass / CG / rebalance,106.828608,kg,screening_estimate,P1 generated mass-closure aggregate,May appear as suspect P1 screening aggregate evidence.,"Must not be current design gross mass, bounded WO-006 mass basis, mission mass, RFQ truth, or release truth.","yes, only when labeled suspect/screening and contrasted with 98.5 kg",no,"yes, but only as a conflict requiring reconciliation",Rebuild component mass ledger against the 98.5 kg design standard and measured/quoted component data.
pipeline_full_span_34p332286,span / half-span / station / rib spacing,34.332286,m,current_pipeline_truth,current pipeline AVL/geometry manifests,Current pipeline full-span evidence unless superseded by newer authority.,Do not round or replace with local splice data for procurement.,"yes, with source and replacement condition",not alone; procurement needs repaired station/span manifest,"yes, if newer geometry invalidates it","Promoted geometry manifest and station schedule that reconciles aero, rib, splice, and shop bases."
pipeline_half_span_17p166143,span / half-span / station / rib spacing,17.166143,m,current_pipeline_truth,current pipeline AVL/geometry manifests,Current pipeline half-span evidence unless superseded by newer authority.,Do not replace with 16.5 m for RFQ/shop/procurement truth.,"yes, with source and replacement condition",not alone; procurement needs repaired station/span manifest,"yes, if newer geometry invalidates it","Promoted geometry manifest and station schedule that reconciles aero, rib, splice, and shop bases."
local_splice_half_span_16p5,span / half-span / station / rib spacing,16.5,m,screening_estimate,local structural/splice screening,May appear as local/splice screening reference.,"Must not be current pipeline half-span, RFQ control span, shop span, or procurement truth.","yes, only when labeled local/splice screening and not procurement truth",no,"yes, as a conflict until reconciled",Reconcile with 17.166143 m pipeline half-span and controlled station manifest.
wo003_stage0_power_warning_minus9,drag / power / mission margin,-9,W,screening_estimate,WO-003 Stage-0 quick-screen,Power-budget watch item only.,"Must not be latest full-pipeline mission verdict, WO-006 conclusion, or release fail/pass.","yes, only as Stage-0 warning",no,"yes, only after repaired mission/power rerun",Re-run mission/power after mass/span authority repair and propulsion/aero lane separation.
p1_c04_original_peel_margin,structure margin / C04 / coupon FEM,-0.893,margin,screening_estimate,P1 local load-path analytical screen,Fail evidence for original eccentric peel path.,Must not be hidden by installed-fix readiness language.,"yes, as fail evidence and local screening",no,"yes, if local FEM/coupon shows unrecoverable blocker","Coupon/local FEM, adhesive/tube-wall/collar allowables, and load-path review."
p1_c04_installed_fix_margin,structure margin / C04 / coupon FEM,0.8876,margin,screening_estimate,P1 installed-fix local surrogate,May support coupon/local FEM readiness only.,"Must not be final aircraft, adhesive, laminate, buckling, or hardware sign-off.","yes, only inside readiness boundary",no,"yes, if coupon/local FEM fails",Physical coupon/local FEM and supplier allowables.
wo005_rfq_pack,spar / splice / RFQ / procurement,WO-005,verdict,conflict_blocked,Baseline A release output,Draft/vendor-screening only; does not block bounded WO-006 aero calibration.,"Must not be purchase-ready, supplier selection, shop drawing release, or procurement truth.","yes, only as draft/vendor-screening and blocked for release/procurement",no,"yes, vendor data can trigger review",Mass/span authority reconciliation plus vendor response and station manifest repair.
wo006_bounded_su2_validation,drag / power / mission margin,WO-006,work_order,current_pipeline_truth,data-authority restoration review,May proceed only as bounded main-wing aero calibration using 98.5 kg and current pipeline span authority unless explicitly labeled sensitivity.,"Must not be release truth, RFQ/procurement truth, full mission sign-off, structural sign-off, or final aircraft sign-off.","yes, with bounded calibration caveats",no,"yes, if bounded SU2 drag/power deltas exceed Baseline A reopen thresholds after review",Upgrade only after full mission/aero/propulsion integration and authority review.
