index	hash	short_hash	date	author	prefix	category_hint	subject	reachable_from_head_main
1	70f8255e6a50b966784dbd33c00d37fc77a3703e	70f8255e	2026-04-06T14:11:48+08:00	林禹安	other	other	Initial commit	yes
2	0bef99aca6dc756ace8402f0928e4cf8f280e6d3	0bef99ac	2026-04-06T20:14:29+08:00	林禹安	v2.0	validation_calculix_fem_apdl	v2.0: OpenMDAO SpatialBeam FEM, dual-spar optimization, full pipeline	yes
3	15e379142788e225285df8fdc20300cf8acf9809	15e37914	2026-04-06T20:42:32+08:00	林禹安	v2.1	foundation_openmdao_api_ci	v2.1: 外徑設計變數、視覺化修復、繁體中文文件	yes
4	26f6eca33bfd50884276e89a75de29b7c5b1f68b	26f6eca3	2026-04-06T23:04:21+08:00	Prosper1030	feat	tests_fixes_hardening	feat: Add max 2.5m tip deflection constraint & fix feasible status bugs	yes
5	64a5beb3afa2016590abde26767f01f2d63f2a84	64a5beb3	2026-04-07T11:00:25+08:00	Prosper1030	feat	other	feat: add cad_exporter script to generate STEP models for SOLIDWORKS	yes
6	b0f5ccf10010059a8aa9e05a9b78d72bdde53162	b0f5ccf1	2026-04-07T22:39:42+08:00	Prosper1030	WIP	structure_inverse_jig_dual_beam	WIP: fix aerodynamic load factor bug and add cross-platform path support	yes
7	69ec088040f4c280ae4e16ec4573f8be3ead17cd	69ec0880	2026-04-07T23:49:48+08:00	林禹安	test	tests_fixes_hardening	test: 補強 test_fsi_coupling.py	yes
8	b1d860ac36d2fb8ef7900ef2e686500524a63cb1	b1d860ac	2026-04-07T23:51:03+08:00	林禹安	test	tests_fixes_hardening	test: 補強 test_load_mapper.py	yes
9	fb7e2a08768ae892e88497b5a0e1b24010bbebbf	fb7e2a08	2026-04-07T23:59:07+08:00	林禹安	test	aero_avl_vsp_airfoil	test: 新增 test_vspaero_parser.py	yes
10	1ca7e82b5ff57e4b7f83f4ad2bc763d41bca3e0a	1ca7e82b	2026-04-07T23:59:31+08:00	林禹安	test	foundation_openmdao_api_ci	test: 新增 test_xflr5_parser.py	yes
11	d5e88887e83138248405ca245b78c244b9ffbd9b	d5e88887	2026-04-07T23:59:40+08:00	林禹安	ci	foundation_openmdao_api_ci	ci: 新增 pre-commit 設定	yes
12	2ce528e6da03bbca3b8d35e39d115f85f744cb5b	2ce528e6	2026-04-07T23:59:53+08:00	林禹安	test	tests_fixes_hardening	test: 新增 test_materials_db.py	yes
13	6a418fd4cce6cf2270d929bc93cec0f824b197b6	6a418fd4	2026-04-08T00:00:12+08:00	林禹安	ci	foundation_openmdao_api_ci	ci: 新增 GitHub Actions CI workflow	yes
14	9cf15bc73b055efad404678443b7ab16223df8e5	9cf15bc7	2026-04-08T00:00:31+08:00	林禹安	build	foundation_openmdao_api_ci	build: 補齊 pytest 與 coverage 設定	yes
15	70af845e82270460a26c43c2ab823c327e72e2ad	70af845e	2026-04-08T00:02:16+08:00	林禹安	refactor	foundation_openmdao_api_ci	refactor: 將 optimizer.py print 改為 logger	yes
16	37cc005ece86a348a6770dbe33a2b5a0b2721903	37cc005e	2026-04-08T00:02:39+08:00	林禹安	refactor	aero_avl_vsp_airfoil	refactor: 將 vsp_builder.py print 改為 logger	yes
